孙笑川,9067542007,孙吧匿名用户,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.d1ea706d.GlKrjtJVi3pQWNQvJml6UA?t=1629092105,吧规 必读,请吧友自觉遵守吧规共同努力创建一个相对干净、绿色的讨论空间 现在的违规包括但不限于: 1.滑稽表情 +3 m或其他水经验词汇在前30楼灌水（禁止在前30楼灌水会影响到其他用户浏览帖子） 2.发布涉及敏感或色情违法内容 3.无理由瞎骂，引战带节奏，挂别人隐私信息或联系方式 4.女吧友刻意强调性别或发自拍钓鱼等 5.小团体向站外引流拉群等 6.发布广告内容 7.无意义水贴且连续发多个无意义贴刷屏 8.恶意嘲讽at吧务处理违规的吧友 9.辱骂吧务，干扰正,46264,79824,2024-06-26 19:19:23,2024-11-20 22:53:48,scores
孙笑川,8351704896,v_b0t,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.2fc1394a.ukuFqA26BTuAeXqYr1Nmwg?t=1711817564,孙吧官方水楼 别处灌水会被封,在此楼回复有时候会没有加经验提示，但其实已经加了,563149,7012011,2023-04-10 11:12:41,2024-11-20 22:53:48,0.37860475917273595
孙笑川,9168481132,至高天9,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.5ec5abe2._lBffADo8TvChOjBRJgftA?t=1724373301,我承认这把女的赢了,绷 ,11085,6287,2024-09-10 18:24:19,2024-11-20 22:53:48,0.44623980786403694
孙笑川,9278867603,无法比拟time,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.dae8fb57.f5Qt9oHvn13IELu5AEfUWw?t=1637335565,🈷到真的了？,xdm，能看看是真是假吗 我好紧张 ,4,10,2024-11-20 22:27:08,2024-11-20 22:53:48,0.36268028422787557
孙笑川,9083809104,布兰登贝利,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.5d96bccc.ht0yLMrXOa6fEsGr91W1ww?t=1705696091,大姨骑三轮车在路边行驶，不料后面竟堵了一大串，网友：不是不让，确实没地方 #安全 #交通安全知识点 #遵守交通规则,,7547,696,2024-07-10 06:58:06,2024-11-20 22:53:48,0.0011693541996266044
孙笑川,9278897705,疯孑彡,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.81bb1240.6rjoDIzi_BxGxtyDg9bgcw?t=1696239550,先用后富富呀,各大平台取现，只有有额度就能搞 ,0,0,2024-11-20 22:53:34,2024-11-20 22:53:48,0.560326911443278
孙笑川,9278896189,螺蛳粉0412,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.ace67275.oz_J8EQsHyETti8GnprSng?t=1669851055,困了可以睡觉吗？,饿了可以恰饭吗？冷了可以加衣服吗？,0,3,2024-11-20 22:52:17,2024-11-20 22:53:48,0.08079287721222783
孙笑川,9277118898,GarriX_X,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.4029004e.rAyQgJuqFoTybOQBW8C63Q?t=1691488019,哈哈哈不像演的, ,3155,747,2024-11-19 22:10:59,2024-11-20 22:53:48,0.5515981583569602
孙笑川,9278879831,,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.1f1a703.C14fBrmw29slsLN1Jqh9xQ,职业键盘侠的n加一小号,一个正常的夸战力对比争吵，选手之间日常互相问候 ,0,6,2024-11-20 22:37:54,2024-11-20 22:53:48,0.34044975910871234
孙笑川,9278875893,,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.575b5b21.KICa1XdzQgAZNqRE9zAvog?t=1696844235,🐭🐭们快来看xxn,第一次在生活中遇到xxn也是被挂了 ,6,6,2024-11-20 22:34:37,2024-11-20 22:53:48,0.5326079615710636
孙笑川,9277833538,qq3159123917,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.6b46ea12.IJ_yIPOi8jrMNpFzmmKAQw?t=1697873677,学校逆天得吃哥,昨晚得吃哥只差最后一步，被我临门一脚截胡了 ,243,300,2024-11-20 11:10:29,2024-11-20 22:53:48,0.1847349417248727
孙笑川,9278891564,好的度过金牛,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.41366de1.3gxNoBktgDFZPvxoLaXPCg,没想到白人男友这么不负责，吧友帮我想想办法,是这样的，两个月前我交往了一个白人留学生，人长的高大帅气，性格也比较开朗阳光，一开始是他主动加的我，我同意了，然后这个留学生开始对我各种追求，又是送礼物又是说好话，拒绝了他好几次后，他也不放弃，一直追求我，说会对我一辈子负责，我很受感动，于是就跟他在一起了有一次他带我到酒吧喝酒，期间他一直在劝我喝，我不小心喝多了，醉的不省人事，他去开了间房，把我背过去放到床上，迷迷糊糊我感觉他在动我，因为半醉半醒,0,1,2024-11-20 22:48:30,2024-11-20 22:53:48,0.03608465333712163
孙笑川,9276289314,白手判师,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.cb25eba1.Z1zImugTvmM1QwFXJ9V-IQ?t=1719247274,这个咋办啊,真是受不了了，隔壁晚上做，白天也做，还叫那么大声，真服了什么人啊 ,245,202,2024-11-19 13:04:04,2024-11-20 22:53:48,0.277555110220441
孙笑川,9276154884,虎林阵,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.3f507e63.N7RNB2s03b22eSt84gWvug?t=1728039099,现在的人都怎么了，连锁反应？, ,4,15,2024-11-19 11:37:42,2024-11-20 22:53:48,0.2050686650077287
孙笑川,9274915214,,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.b2a55e0.jT0Sk4sF-o-1znmL9IDCPw?t=1727310642,幽默牢东，, ,700,73,2024-11-18 17:08:22,2024-11-20 22:53:48,0.5215875193970664
